#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assignee,Updated,Category,Target version,Start date,Due date,Estimated time,Spent time,% Done,Created,Closed,Related issues,Detected Sprint,Resolved Sprint,Technology,Defect Category,Probable Cause,Type of Bug,Is Regression Bug?,Severity,Private
1614,Structure Mapping,Bug,"",New,High,In Creatives when user upload file with different media type for which template is available then an error is appearing   ,Shubham Jain,Darshan Chambavane,03/03/2017 03:13 PM,"","",03/03/2017,"","",0.00,0,03/03/2017 03:13 PM,"","",Sprint 21,"","","","",Functional,false,Major,false
1613,ETL,Bug,"",New,Normal,Variation is not calculated properly for Previous file,Udip Chatterjee,Nikhil Babar,03/03/2017 03:03 PM,"","",03/03/2017,"","",0.00,0,03/03/2017 03:03 PM,"","",Sprint 21,"","","","",Functional,false,Major,false
1612,Data Production,Bug,"",New,Normal,REPORT DELIVERY SCHEDULE -> Add Notes -> If user upload text in large amount then API error is appearing,Shubham Jain,Dipesh Pachlegaonkar,03/02/2017 07:46 PM,"","",03/02/2017,"","",0.00,0,03/02/2017 07:46 PM,"","",Sprint 21,"","","","",Functional,false,Moderate,false
1611,Codification,Suggestions,"",New,Normal,Download variation report displays ID which is not understandable for users.,Udip Chatterjee,Amey Mandhare,03/02/2017 07:12 PM,"","",03/02/2017,"","",0.00,0,03/02/2017 07:12 PM,"","",Sprint 21,"","","","","",false,Moderate,false
1610,Codification,Bug,"",New,High,Download variation report displays date in Integer.,Udip Chatterjee,Amey Mandhare,03/02/2017 07:10 PM,"","",03/02/2017,"","",0.00,0,03/02/2017 07:10 PM,"","",Sprint 21,"","","","",Functional,false,Major,false
1609,Codification,Bug,"",New,Normal,Download variation report displays report for all files and data providers.,Udip Chatterjee,Amey Mandhare,03/02/2017 07:06 PM,"","",03/02/2017,"","",0.00,0,03/02/2017 07:06 PM,"","",Sprint 21,"","","","",Functional,false,Major,false
1608,Codification,Bug,"",New,Normal,User unable to understand the month specified for the provider.,Udip Chatterjee,Darshan Chambavane,03/02/2017 06:59 PM,"","",03/02/2017,"","",0.00,0,03/02/2017 06:59 PM,"","",Sprint 21,"","","","",Functional,false,Moderate,false
1607,Codification,Bug,"",New,Normal,"Variation with Previous file, should have unit variation instead of % variation.",Udip Chatterjee,Darshan Chambavane,03/02/2017 06:54 PM,"","",03/02/2017,"","",0.00,0,03/02/2017 06:54 PM,"","",Sprint 21,"","","","",Functional,false,Moderate,false
1606,Data Production,Bug,"",Resolved,Normal,Create/Update Tempalate -> User should not allow to select isEmpty column in sort option,Shubham Jain,Piyush Balapure,03/02/2017 07:43 PM,"","",03/02/2017,"","",0.00,0,03/02/2017 06:54 PM,"","",Sprint 21,Sprint 25,Angular,Recommendation,Impact Analysis not done,Functional,false,Moderate,false
1605,Data Production,Bug,"",New,Low,[UI]:Data Production-->Info-->Gross Net Ratio-->Application is displaying OK button on pop up,Tejas Chaudhari,Pradip Chalke,03/02/2017 05:29 PM,"","",03/02/2017,"","",0.00,0,03/02/2017 05:28 PM,"","",Sprint 21,"","","","",UI/UX,false,Minor,false
1604,Codification,Bug,"",New,High,Record disappear after downloading Variation Report,Udip Chatterjee,Darshan Chambavane,03/02/2017 04:51 PM,"","",03/02/2017,"","",0.00,0,03/02/2017 04:51 PM,"","",Sprint 21,"","","","",Functional,false,Major,false
1603,ETL,Bug,"",New,High,Error occurred in variation process,Udip Chatterjee,Nikhil Babar,03/02/2017 04:17 PM,"","",03/02/2017,"","",0.00,0,03/02/2017 04:17 PM,"","",Sprint 21,"","","","",Functional,false,Major,false
